-3300 -3300 -3300 -3300
-21768 -21768 -21768 -21768
-31908 -31908 -31908 -31908
-29836 -29836 -29836 -29836
-16348 -16348 -16348 -16348
3400 3400 3400 3400
21844 21844 21844 21844
31932 31932 31932 31932
29796 29796 29796 29796
16260 16260 16260 16260
-3500 -3500 -3500 -3500
-21920 -21920 -21920 -21920
-31952 -31952 -31952 -31952
-29756 -29756 -29756 -29756
-16176 -16176 -16176 -16176
3596 3596 3596 3596
21992 21992 21992 21992
31972 31972 31972 31972
29716 29716 29716 29716
16088 16088 16088 16088
-3696 -3696 -3696 -3696
-22068 -22068 -22068 -22068
-31992 -31992 -31992 -31992
-29672 -29672 -29672 -29672
-16000 -16000 -16000 -16000
3796 3796 3796 3796
22140 22140 22140 22140
32012 32012 32012 32012
29632 29632 29632 29632
15912 15912 15912 15912
-3896 -3896 -3896 -3896
-22212 -22212 -22212 -22212
-32032 -32032 -32032 -32032
-29588 -29588 -29588 -29588
-15824 -15824 -15824 -15824
3996 3996 3996 3996
22288 22288 22288 22288
32048 32048 32048 32048
29548 29548 29548 29548
15736 15736 15736 15736
-4096 -4096 -4096 -4096
-22360 -22360 -22360 -22360
-32068 -32068 -32068 -32068
-29504 -29504 -29504 -29504
-15648 -15648 -15648 -15648
4192 4192 4192 4192
22432 22432 22432 22432
32088 32088 32088 32088
29460 29460 29460 29460
15560 15560 15560 15560
-4292 -4292 -4292 -4292
-22504 -22504 -22504 -22504
-32104 -32104 -32104 -32104
-29420 -29420 -29420 -29420
-15472 -15472 -15472 -15472
4392 4392 4392 4392
22576 22576 22576 22576
32124 32124 32124 32124
29376 29376 29376 29376
15384 15384 15384 15384
-4492 -4492 -4492 -4492
-22652 -22652 -22652 -22652
-32140 -32140 -32140 -32140
-29332 -29332 -29332 -29332
-15296 -15296 -15296 -15296
4592 4592 4592 4592
22720 22720 22720 22720
32156 32156 32156 32156
29288 29288 29288 29288
15208 15208 15208 15208
-4688 -4688 -4688 -4688
-22792 -22792 -22792 -22792
-32176 -32176 -32176 -32176
-29244 -29244 -29244 -29244
-15120 -15120 -15120 -15120
4788 4788 4788 4788
22864 22864 22864 22864
32192 32192 32192 32192
29196 29196 29196 29196
15032 15032 15032 15032
-4888 -4888 -4888 -4888
-22936 -22936 -22936 -22936
-32208 -32208 -32208 -32208
-29152 -29152 -29152 -29152
-14944 -14944 -14944 -14944
4988 4988 4988 4988
23008 23008 23008 23008
32224 32224 32224 32224
29108 29108 29108 29108
14852 14852 14852 14852
-5088 -5088 -5088 -5088
-23080 -23080 -23080 -23080
-32240 -32240 -32240 -32240
-29064 -29064 -29064 -29064
-14764 -14764 -14764 -14764
5184 5184 5184 5184
23148 23148 23148 23148
32256 32256 32256 32256
29016 29016 29016 29016
14676 14676 14676 14676
-5284 -5284 -5284 -5284
-23220 -23220 -23220 -23220
-32268 -32268 -32268 -32268
-28972 -28972 -28972 -28972
-14584 -14584 -14584 -14584
5384 5384 5384 5384
23288 23288 23288 23288
32284 32284 32284 32284
28924 28924 28924 28924
14496 14496 14496 14496
-5480 -5480 -5480 -5480
-23360 -23360 -23360 -23360
-32300 -32300 -32300 -32300
-28876 -28876 -28876 -28876
-14404 -14404 -14404 -14404
5580 5580 5580 5580
23432 23432 23432 23432
32312 32312 32312 32312
28832 28832 28832 28832
14316 14316 14316 14316
-5680 -5680 -5680 -5680
-23500 -23500 -23500 -23500
-32328 -32328 -32328 -32328
-28784 -28784 -28784 -28784
-14224 -14224 -14224 -14224
5776 5776 5776 5776
23568 23568 23568 23568
32340 32340 32340 32340
28736 28736 28736 28736
14136 14136 14136 14136
-5876 -5876 -5876 -5876
-23640 -23640 -23640 -23640
-32356 -32356 -32356 -32356
-28688 -28688 -28688 -28688
-14044 -14044 -14044 -14044
5972 5972 5972 5972
23708 23708 23708 23708
32368 32368 32368 32368
28640 28640 28640 28640
13956 13956 13956 13956
-6072 -6072 -6072 -6072
-23776 -23776 -23776 -23776
-32380 -32380 -32380 -32380
-28592 -28592 -28592 -28592
-13864 -13864 -13864 -13864
6172 6172 6172 6172
23844 23844 23844 23844
32392 32392 32392 32392
28544 28544 28544 28544
13772 13772 13772 13772
-6268 -6268 -6268 -6268
-23912 -23912 -23912 -23912
-32404 -32404 -32404 -32404
-28496 -28496 -28496 -28496
-13684 -13684 -13684 -13684
6368 6368 6368 6368
23980 23980 23980 23980
32416 32416 32416 32416
28448 28448 28448 28448
13592 13592 13592 13592
-6464 -6464 -6464 -6464
-24048 -24048 -24048 -24048
-32428 -32428 -32428 -32428
-28396 -28396 -28396 -28396
-13500 -13500 -13500 -13500
6564 6564 6564 6564
24116 24116 24116 24116
32440 32440 32440 32440
28348 28348 28348 28348
13408 13408 13408 13408
-6660 -6660 -6660 -6660
-24184 -24184 -24184 -24184
-32448 -32448 -32448 -32448
